trade_date,open,high,low,close,volume,openinterest
2002-05-16,7.5277,7.6162,7.2206,7.2561,3976.8,0.0
2002-05-17,7.2561,7.3092,7.0848,7.2443,2535.59,0.0
2002-05-20,7.262,7.262,7.1144,7.1734,938.74,0.0
2002-05-21,7.3505,7.4627,7.2088,7.2856,4486.97,0.0
2002-05-22,7.3741,7.3741,7.0848,7.138,4455.27,0.0
2002-05-23,7.138,7.2265,7.1026,7.1557,1829.77,0.0
2002-05-24,7.1616,7.1852,6.8487,6.9136,5553.9,0.0
2002-05-28,6.955,7.2088,6.9077,7.1793,3273.58,0.0
2002-05-29,7.1734,7.1734,6.9727,6.9963,1729.53,0.0
2002-05-30,7.073,7.1734,6.9077,6.9432,2227.71,0.0
2002-05-31,7.1439,7.1439,6.9491,6.9668,1815.0,0.0
2002-06-03,6.9077,6.9077,6.5358,6.7896,1295.35,0.0
2002-06-04,6.7896,6.9254,6.7306,6.8369,2044.0,0.0
2002-06-05,6.7601,6.8133,6.6007,6.6361,1577.77,0.0
2002-06-06,6.6125,7.0848,6.5594,6.8605,5592.81,0.0
2002-06-07,6.8487,7.073,6.7306,6.9963,9929.05,0.0
2002-06-10,7.0022,7.0081,6.8487,6.89,1933.05,0.0
2002-06-11,6.9313,7.0553,6.9254,7.0199,4035.44,0.0
2002-06-12,7.0376,7.0376,6.9077,6.9491,2433.15,0.0
2002-06-13,6.9372,7.0081,6.8487,6.8487,2787.54,0.0
2002-06-14,6.8192,6.9077,6.7896,6.8546,3483.75,0.0
2002-06-17,6.831,6.8782,6.831,6.8782,1960.73,0.0
2002-06-18,6.8782,7.0435,6.8782,7.0258,3801.91,0.0
2002-06-19,7.0435,7.0435,6.9609,6.9668,1799.13,0.0
2002-06-20,6.9786,7.1734,6.9786,7.1498,7315.31,0.0
2002-06-21,7.1734,7.7048,7.1734,7.6103,29572.51,0.0
2002-06-24,8.3719,8.3719,8.0295,8.3719,42139.55,0.0
2002-06-25,8.5716,8.6259,7.9499,8.1491,28192.65,0.0
2002-06-26,8.143,8.143,7.8835,8.1128,10917.95,0.0
2002-06-27,8.0585,8.2396,7.9981,7.9981,10806.7,0.0
2002-06-28,7.9921,8.1309,7.6661,7.7567,14420.66,0.0
2002-07-01,7.7567,7.9257,7.7446,7.7929,5925.47,0.0
2002-07-02,7.8472,7.8835,7.7386,7.8835,4240.37,0.0
2002-07-03,7.9076,7.9438,7.7748,7.8593,3474.22,0.0
2002-07-04,7.9076,7.9076,7.6963,7.7144,4735.29,0.0
2002-07-05,7.7084,7.7567,7.5696,7.7567,2446.67,0.0
2002-07-08,7.7869,7.8533,7.7325,7.8412,3708.2,0.0
2002-07-09,7.8472,7.9076,7.7989,7.8291,2799.78,0.0
2002-07-10,7.8472,7.8472,7.6661,7.6903,2863.42,0.0
2002-07-11,7.6661,7.8171,7.642,7.7386,2130.1,0.0
2002-07-12,7.7446,7.8171,7.7144,7.7627,1805.97,0.0
2002-07-15,7.7265,7.7688,7.6541,7.6661,913.17,0.0
2002-07-16,7.6661,7.7567,7.636,7.6601,864.77,0.0
2002-07-17,7.7748,7.7748,7.6661,7.7446,1309.52,0.0
2002-07-18,7.7688,7.7869,7.6963,7.7627,2275.81,0.0
